mediaId,mediaName,type,mediaMainCategory,mediaSubCategory,legacySubCategory,mediaClass,nameOnlyClass,monthlyCap,isActive,location
cmrt38lsj000809ia823w6e6d,김포공항 국내선 1층 도착장 격리 대합실 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실
cmrt2wpdl000o04lbh9fv2q2z,김포공항 국내선 1층 도착장 격리 대합실 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실 동편
cmrt3dlwr000p04l2lby9uj96,김포공항 국내선 1층 도착장 격리 대합실 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실
cmrt3flw8000104l2mcllwjw1,김포공항 국내선 1층 도착장 격리 대합실 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실
cmrt3byy1001k09iakw9hjo4h,김포공항 국내선 1층 도착장 격리 대합실 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실
cmrt2zlja000104l4xvi2o38z,김포공항 국내선 1층 도착장 격리 대합실 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실 서편
cmrt1nn6f000504jrm91hdqyx,김포공항 국내선 1층 도착장 격리 대합실 캐로셀+사각기둥 PKG 광고,digital,transit,airport,공항 디지털 LED,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 격리 대합실
cmrt1x0nv000y04i6lqj7v8lu,김포공항 국내선 1층 도착장 일반 대합실 사각기둥 PKG 광고,digital,transit,airport,공항 디지털 LED,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 일반 대합실
cmrt3gvbo000104jr7mcmwvwo,김포공항 국내선 1층 도착장 출구 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 출구 동편
cmrt3iac4000p04jrw7oihrbx,김포공항 국내선 1층 도착장 출구 라이트박스 광고,static,transit,airport,공항 라이트박스,airport,airport,10000000,true,서울 강서구 하늘길 112 김포국제공항 국내선 1층 도착장 출구 서편
