mediaId,mediaName,hasProposal(DB값),실제 파일 존재 여부,파일 개수,Phase B 관련 여부(6건/116건/해당없음)
cmqt7egdr000104l54jc6hrmc,광역전철 스티커 + 듀얼 LCD Full Package 광고,false,있음,14,6건
cmp3biu21000004l8a8ijkh9c,지하철 2호선 메트로라이브 광고,false,있음,4,6건
cmp3csmb2000004l43sen816g,지하철 신분당선 메트로 라이브 광고,false,있음,7,6건
cmqqtj8lq000104l4xr4ajz0v,공항철도 홍대입구역 환승통로 무인워크 패키지 광고,false,있음,2,116건
cmquwmka0000604l2qyl38ys7,명동 미디어폴 디지털 광고,false,있음,12,116건
cmretdztq000d04jzfoizdihm,서면 롯데백화점 중앙몰 디지털포스터 광고,false,있음,3,116건
cmox0ppcz000004l4r6sp277c,KTX 서울역 파노라마 전광판 광고,false,있음,9,116건
cmp02p1ei000a04l7aqmf0vnd,강남 센트럴시티 게이트 DS 광고,false,있음,5,해당없음
cmp02q6wy000c04l7757f1f4h,강남 센트럴시티 스퀘어 DS 광고,false,있음,5,해당없음
cmp0er2cp000204l29x0gg03l,강남대로 미디어폴 광고,false,있음,7,해당없음
cmo6ix9wa000004kzq4dfvo5n,경부고속도로 신갈IC K-pad 전광판 광고,false,있음,5,해당없음
cmqrnc9uw00010bj7wh5uteyv,공항철도 개찰구 래핑 Full Package 광고,false,있음,5,해당없음
cmqrpy6vh00030ai366l1xgkn,공항철도 검암역 개찰구 래핑 광고,false,있음,4,해당없음
cmrm54gsp000005jv1s4w13bi,공항철도 검암역 디지털사이니지 광고,false,있음,2,해당없음
cmqrpvzn200010ai3wthj2nhw,공항철도 계양역 개찰구 래핑 광고,false,있음,4,해당없음
cmqrpszqp00020bj9kw9m7lzw,공항철도 공덕역 개찰구 래핑 광고,false,있음,4,해당없음
cmrm4dkze001j0ahtritqcahk,공항철도 공덕역 디지털사이니지 광고,false,있음,3,해당없음
cmqrpnxqa00000bj9zhwkdlpj,공항철도 김포공항역 개찰구 래핑 광고,false,있음,4,해당없음
cmrm4vdkj002f04ky05j2tcez,공항철도 김포공항역 디지털사이니지 광고,false,있음,2,해당없음
cmqrp9jnr00000bksl9e6g9fq,공항철도 디지털미디어시티역 개찰구 래핑,false,있음,4,해당없음
cmrm4l6j7001c04jvgxdenwp8,공항철도 디지털미디어시티역 디지털사이니지 광고,false,있음,3,해당없음
cmqrpktcl00010bje7r3329op,공항철도 마곡나루역 개찰구 래핑 광고,false,있음,4,해당없음
cmqrouzqm00000bgh3hmh6sza,공항철도 서울역 개찰구 래핑 광고,false,있음,5,해당없음
cmrm47dry00010ahtq1bssgdg,공항철도 서울역 디지털사이니지 광고,false,있음,3,해당없음
cmqrlupi5000004jmjc2l7wil,"공항철도 서울역 무빙워크 핸드레일 A,B구역 패키지 광고",false,있음,3,해당없음
cmqrmo26a000f0bkxmar02m9t,공항철도 서울역 에스컬레이터 광고 ⑤ (지하2층~지하3층),false,있음,3,해당없음
cmqrm0mvd000004jl7ca3zr6b,공항철도 서울역 지하3층 환승 구간 광고,false,있음,2,해당없음
cmqrp2sdo000204levvkf0tp6,공항철도 인천공항T1역 개찰구 래핑 광고,false,있음,4,해당없음
cmqrp5lq8000004i8dr4ysajj,공항철도 인천공항T2역 개찰구 래핑 광고,false,있음,4,해당없음
cmrm5a2pl000004ievne55oex,공항철도 인천국제공항 T1 디지털사이니지 광고,false,있음,2,해당없음
cmqror59000000bi04kjwjkmf,공항철도 주요 역사 개찰구 래핑 패키지 광고,false,있음,5,해당없음
cmqqtzlk6000d04lktvd4qq11,공항철도 홍대입구역 3번 출구 코너 래핑 광고,false,있음,2,해당없음
cmqrozlqf00000bi1voky1g6s,공항철도 홍대입구역 개찰구 래핑 광고,false,있음,4,해당없음
cmrm4g35k001q0ahtz7m2ph5f,공항철도 홍대입구역 디지털사이니지 광고,false,있음,7,해당없음
cmox14pqi000a04l8wwqca4gm,공항철도 홍대입구역 DS 광고 (5.6번),false,있음,2,해당없음
cmnzdtqyf000204lbz82w6ipv,광화문 KT 스퀘어 미디어월 전광판 광고,false,있음,13,해당없음
cmr4nl093000104jmtfyrqe4x,디지털 택시쉘터 광고 (강남 대치동),false,있음,7,해당없음
cmr4ngm43000004l7w4jjppyw,디지털 택시쉘터 광고 (강남 신사동),false,있음,7,해당없음
cmr4nagem000704l52xu5gxgy,디지털 택시쉘터 광고 (용산 한강로),false,있음,7,해당없음
cmqje4ew4000504la7yw31uh5,부산 지하철 2호선 디지털사이니지 패키지,false,있음,10,해당없음
cmoy5ebht000004jsf0jfv9ql,부산 지하철 2호선 사상역 디지털사이니지 광고,false,있음,5,해당없음
cmoxs4gur000004jvno4skc1n,부산 지하철 2호선 센텀시티역 디지털사이니지 광고,false,있음,6,해당없음
