mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy
cmod63z8h000004lar8lfzc4l,광화문 루미 미디어 전광판 광고,D,impressions=1850000;dailyFootfall=35529,impressions>dailyFootfall×31,,2026-08-19T15:01:23.156Z,
cmo5y9uma000204k1n0ly5ndh,명동 AVENUE 42 미디어폴 광고,D,impressions=3200000;dailyFootfall=33414,impressions>dailyFootfall×31,,2026-08-20T04:43:04.800Z,
cmocx36r4000004k1yvrv6y13,더현대서울 사운즈 포레스트 미디어월 광고,D,impressions=1850000;dailyFootfall=27643,impressions>dailyFootfall×31,,2026-08-20T01:56:45.152Z,
cmp0gyh8i000004jp4u4xokpx,강원 용평리조트 스키장 전광판 광고,D,impressions=450000;dailyFootfall=12000,impressions>dailyFootfall×31,,2026-08-19T15:01:23.195Z,
cmo5xrw45000004k1o6opfqkz,명동 K파이낸스빌딩 외벽 아트월 광고,D,impressions=3200000;dailyFootfall=33414,impressions>dailyFootfall×31,,2026-08-19T15:01:23.225Z,
cmokchyi4000004js484675yf,스타필드 수원점 미디어타워 광고,D,impressions=8000000;dailyFootfall=70000,impressions>dailyFootfall×31,,2026-08-20T02:58:57.729Z,
cmo5zgtqk000004l8s594fn51,신세계백화점 본점 신세계 스퀘어 전광판 광고,D,impressions=4500000;dailyFootfall=33414,impressions>dailyFootfall×31,,2026-08-20T05:32:27.226Z,
cmrwirjcs000504jlnlr684lo,인천지하철 1호선 디지털사이니지 전체 턴키 (7개 역사) 광고,D,impressions=13500000;dailyFootfall=238000,impressions>dailyFootfall×31,,2026-08-20T03:12:29.131Z,
cmqst9336000209kp6u0huka5,여의도역 지하철 5호선 CM보드 영상 광고 (디지털),D,impressions=3300000;dailyFootfall=50000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.465Z,
cmofq1dky000204l50loidtiq,공항철도 서울역 E/S 핸드레일 랩핑 광고,D,impressions=1950000;dailyFootfall=58761,impressions>dailyFootfall×31,,2026-07-31T16:47:22.510Z,
cmqstczzv00030ajnxs3isw5w,여의도역 지하철 5호선 CM보드 조명 광고 (인쇄),D,impressions=3300000;dailyFootfall=50000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.492Z,
cmo60b9fh000204juy36d7dop,삼각지 용산 해태제과빌딩 전광판 광고,D,impressions=950000;dailyFootfall=18357,impressions>dailyFootfall×31,,2026-08-19T15:01:24.496Z,
