mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy
cmsyvvvbi000c04jiczu69c5c,시부야 스타츠비전 전광판 광고,E,impressions=null,non-null >= 0,,2026-08-20T04:12:04.709Z,
cmsyx0h1c001c04ji8ck0gixm,시부야 스크램블 교차로 16면 싱크 전광판 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.229Z,
cmsywe2z2001604jvcecrobiz,시부야 시부크로비전 전광판 광고,E,impressions=null,non-null >= 0,,2026-08-20T04:14:23.951Z,
cmssw6hqh000004iftnsedovm,지하철 2호선 구로디지털단지역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.658Z,
cmrm2f88q000204kydtp2vmzj,전통시장 LED 전광판 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.382Z,
cmssychda000e04js5ao9fhv7,지하철 2호선 홍대입구역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.715Z,
cmsswdyll000104jxek16x3rs,지하철 2호선 선릉역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T04:29:37.957Z,
cmsyguc6s000u04l2ybgpbbwp,시부야 Q'S EYE(큐즈 아이) 전광판 광고,E,impressions=null,non-null >= 0,,2026-08-20T04:12:34.853Z,
cmst05ifo000004jwhner9bql,지하철 7호선 건대입구역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.204Z,
cmp3cfdsy000004jo3v38d9f4,헤스티아 (익스클루시브) 버스 외부 LED 전광판,E,dailyFootfall=null,non-null >= 0,,2026-08-19T15:01:23.292Z,
cmssy1tys000604jsya9x1d8f,지하철 2호선 을지로입구역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.444Z,
cmssz4rd3000604l51uc1pom7,지하철 4호선 동대문역사문화공원역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.547Z,
cmssxciu3000204l7kli6su45,지하철 2호선 역삼역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.475Z,
cmssy58mh000s04l8yx4b9wtt,지하철 2호선 잠실역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.495Z,
cmsszjx2v000504jvrhk2st9z,지하철 5호선 마포역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.719Z,
cmst0r1nq000f04jsb53ihoxu,지하철 8호선 잠실역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T03:13:06.590Z,
cmst0dedm000604jwypa3qbp8,지하철 7호선 대림역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.766Z,
cmssywvbx001004l8mg6d15mc,지하철 4호선 충무로역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.278Z,
cmssz03ue000304l5573qtaxd,지하철 4호선 동대문역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T03:29:37.334Z,
cmqqt9jz8000204i94ezv23xv,지하철 공항철도 홍대입구역 환승통로 래핑 벽면 광고 ①-2,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.934Z,
cmsszpu61001e04l8glfkcpjz,지하철 5호선 광화문역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.311Z,
cmsszuei5000u04l546i1lxl3,지하철 6호선 연신내역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.680Z,
cmssviih4000004jrvyhnxl7h,지하철 2호선 건대입구역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:23.975Z,
cmrsrt7e4000204i9y7tfd360,게릴라 포스터 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:58:24.831Z,
cmsszrk8r000s04l5l99etet1,지하철 6호선 공덕역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.190Z,
cmsswgvky000004kyr5t48npu,지하철 2호선 신도림역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.395Z,
cmssznxmw000r04l5ctyx5oqj,지하철 5호선 여의도역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.444Z,
cmst3icyr000104jmse6sx2kv,지하철 엔스퀘어 전체역사 All in One Pack 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.507Z,
cmssy7qqu000a04jsuhez6xsu,지하철 2호선 합정역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.655Z,
cmssxiklt000204juf3dw64l5,지하철 2호선 영등포구청역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:27.193Z,
cmst0oz5z000d04jsw3gz1v49,지하철 8호선 문정역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T03:45:01.698Z,
cmqsuxgmu00010akq6pgm99bi,천호역 지하철 5호선 CM보드 광고 (인쇄),E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.711Z,
cms5ovxek000204jq9ybo6q7c,현대백화점 신촌점 유플렉스 패키지 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.742Z,
cmst5ofuc000q04jsn0m0y8o0,스포애니 피트니스 센터 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.760Z,
cmssve4i6000004l966rzty5a,지하철 1호선 종각역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T02:32:21.672Z,
cmst03vuh000504ibusispq5i,지하철 7호선 노원역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.927Z,
cmrahrzyj000r04l81d0i8hs7,인천 A+ 에셋 부평빌딩 LED 전광판,E,impressions=null,non-null >= 0,,2026-08-19T15:01:24.937Z,
cmssxo5ap000804juo6dm2le4,지하철 2호선 을지로3가역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:27.416Z,
cmst07lna000204jwzek8w0cm,지하철 7호선 가산디지털단지역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T03:30:48.134Z,
cmqqtdzpo000004kyxgyff2ct,지하철 공항철도 홍대입구역 환승통로 래핑 벽면 광고  ①-3,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.038Z,
cmssuxcz7000i04i3l8zooazn,지하철 1호선 시청역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.273Z,
cmsswkoqx000604jtqwlq45bp,지하철 2호선 신림역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.287Z,
cmssvgvt5000304ldgc898el9,지하철 2호선 강남역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.310Z,
cmrlzusu6000704kw28nuhi0a,에어부산 기내지 FLY&FUN 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.417Z,
cmst0mhr1000104l8wiysxaao,지하철 7호선 총신대입구역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.470Z,
cmssyqjkr000y04l80ymy3kbo,지하철 3호선 충무로역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T21:41:19.961Z,
cmssybqd9000c04js0ctwh5rz,지하철 3호선 고속터미널역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.684Z,
cmst5r66x000r04l7zlsd0rm8,어시스트핏 헬스장 TV 광고,E,impressions=null,non-null >= 0,,2026-08-20T00:17:39.804Z,
cmssusm16000l04jrumoa55de,지하철 1호선 서울역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.746Z,
cmsszfdr2000m04l50ypx4jbt,지하철 4호선 혜화역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.898Z,
cmsswa2kr000004jtk7wkv9q6,지하철 2호선 동대문역사문화공원역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:25.951Z,
cmsszlw41000p04l5hrdlgt8y,지하철 5호선 서대문역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T03:54:05.291Z,
cmst0idld000004jsqcqos2w8,지하철 7호선 상봉역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T05:30:22.857Z,
cms725rov00030aj213mgy6q5,지하철 맥스비전 전체역사 턴키 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.324Z,
cmssvdycc001c04i3l8orpw1u,지하철 1호선 종로3가역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.420Z,
cmssyjcz1000004l5ps9iv6pc,지하철 3호선 신사역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.495Z,
cmssynzfz000w04l8hmz0y5eh,지하철 3호선 압구정역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.510Z,
cmsszhm51000o04l580w0vkvw,지하철 4호선 회현역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:27.827Z,
cmssx7mtt000004l7ltwy8jg8,지하철 2호선 사당역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.712Z,
cmst0ah4a000404jwq945exjp,지하철 7호선 고속터미널역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.781Z,
cmst0ksay000904l7pjp57jsn,지하철 7호선 어린이대공원역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-20T05:31:05.927Z,
cmsswbsqk000104jts3jleei9,지하철 2호선 삼성역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:26.993Z,
cmst0fvzx000804jwszm1d5mw,지하철 7호선 사가정역 엔스퀘어 광고,E,impressions=null,non-null >= 0,,2026-08-19T15:01:27.263Z,
cmrap3eo4000004jv8b2tt90v,신사 BK빌딩 LED 전광판,E,impressions=null,non-null >= 0,,2026-08-19T15:01:27.369Z,
