mediaId,mediaName,필드,현재값,isActive,reviewStatus,공개 카탈로그 노출,견적 계산 영향,AI 추천 포함
cmsyvvvbi000c04jiczu69c5c,시부야 스타츠비전 전광판 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 2100000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmsyguc6s000u04l2ybgpbbwp,시부야 Q'S EYE(큐즈 아이) 전광판 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 2100000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmsyx0h1c001c04ji8ck0gixm,시부야 스크램블 교차로 16면 싱크 전광판 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 2100000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmsywe2z2001604jvcecrobiz,시부야 시부크로비전 전광판 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 2100000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssw6hqh000004iftnsedovm,지하철 2호선 구로디지털단지역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 4650000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmrm2f88q000204kydtp2vmzj,전통시장 LED 전광판 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 3900000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssychda000e04js5ao9fhv7,지하철 2호선 홍대입구역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 5850000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmsswdyll000104jxek16x3rs,지하철 2호선 선릉역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 7200000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmst05ifo000004jwhner9bql,지하철 7호선 건대입구역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 4950000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmp3cfdsy000004jo3v38d9f4,헤스티아 (익스클루시브) 버스 외부 LED 전광판,dailyFootfall=null,dailyFootfall=null,true,clean,노출됨,폴백 52000000 (stored_impressions),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssy1tys000604jsya9x1d8f,지하철 2호선 을지로입구역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 6450000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssz4rd3000604l51uc1pom7,지하철 4호선 동대문역사문화공원역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 6450000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssxciu3000204l7kli6su45,지하철 2호선 역삼역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 7200000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssy58mh000s04l8yx4b9wtt,지하철 2호선 잠실역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 6300000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmsszjx2v000504jvrhk2st9z,지하철 5호선 마포역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 5850000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmst0r1nq000f04jsb53ihoxu,지하철 8호선 잠실역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 6300000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmst0dedm000604jwypa3qbp8,지하철 7호선 대림역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 6000000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssywvbx001004l8mg6d15mc,지하철 4호선 충무로역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 6450000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmssz03ue000304l5573qtaxd,지하철 4호선 동대문역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 5700000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmqqt9jz8000204i94ezv23xv,지하철 공항철도 홍대입구역 환승통로 래핑 벽면 광고 ①-2,impressions=null,impressions=null,true,clean,노출됨,폴백 5850000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
cmsszpu61001e04l8glfkcpjz,지하철 5호선 광화문역 엔스퀘어 광고,impressions=null,impressions=null,true,clean,노출됨,폴백 5700000 (dailyFootfall_x_30),"포함 (후보 풀=공개 카탈로그, impressions 미필터)"
