priority,name,id,cheapestPeriod,cheapestPrice,cheapestLabel,priceNote,displayPeriod,displayPriceWon,monthlyShown,labelInfer,guess,confidence,hints
0,명동 미디어폴 디지털 광고,cmquwmka0000604l2qyl38ys7,1일,700000,1일 패키지 (팬클럽 한정),,month,700000,700000,day,확인 필요 (일당 vs 1일 패키지 총액),low,note/label suggests package/total
1,강남 고속터미널 르본시티빌딩 전광판,cmp86dklz000004kz1i8b8bxb,2주,4500000,2주,,month,4500000,4500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,강남 미진프라자 래핑 아트월 광고,cmof5417k000204lanx892ehf,2주,120000000,래핑 광고 2주,,month,120000000,120000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,강남 미진프라자 전광판 광고,cmof4noau000004l2wsiuabot,2주,8500000,2주 (30초 개별 영상),,month,8500000,8500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,강남 브라운 성형외과 전광판 광고 (DSG빌딩),cmoefn4zx000004i7jsbn32sx,2주,8100000,개별 20초 (2주),,month,8100000,8100000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,강남역 자이언트월 미디어 광고,cmoeiyvcf000004ky64k0c9ri,2주,5500000,30초 (개별) 2주,,month,5500000,5500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,광주 금남로 천하빌딩 전광판 광고,cmpcabkgx000004kw0io16eoi,2주,1700000,2주,,month,1700000,1700000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,광주 송정역 은성빌딩 전광판 광고,cmpcamnsx000004i3q2d5ohav,2주,3300000,2주,,month,3300000,3300000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,구로 경동나비엔 전광판 광고,cmpbd5ji0000004lbxssgh6sq,2주,3300000,2주,,month,3300000,3300000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,구로 동해빌딩 전광판 광고,cmpbcz6tq000004jry0n257v9,2주,2800000,2주,,month,2800000,2800000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,구파발역 스마트쉘터 광고,cmpmip7fl000004ju6113q3tc,2주,2800000,2주,,month,2800000,2800000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
